1251.4845,759.19775:969.48035,736.3423|
1251.4845,759.19775:969.48035,736.3423|
1246.8445,684.0597:976.52704,665.2189|
1246.8445,684.0597:976.52704,665.2189|
1237.6854,606.8187:982.3158,588.08374|
1222.4907,525.2817:990.47614,519.35583|
1222.4907,525.2817:990.47614,519.35583|
1206.7328,460.31808:1001.9613,452.2271|
1206.7328,460.31808:1001.9613,452.2271|
1206.7328,460.31808:1001.9613,452.2271|
1192.0674,396.04468:1007.08655,382.65308|
1181.0151,330.28445:1009.72845,323.86578|
1181.0151,330.28445:1009.72845,323.86578|
1181.0151,330.28445:1009.72845,323.86578|
1172.2056,281.01184:1011.3923,272.49658|
1163.2433,246.39642:1012.84515,250.01927|
1163.2433,246.39642:1012.84515,250.01927|
1159.8771,232.29103:1009.9887,245.37527|
1159.8771,232.29103:1009.9887,245.37527|
1161.943,218.9076:1002.8341,229.63847|
1161.943,218.9076:1002.8341,229.63847|
1161.943,218.9076:1002.8341,229.63847|
1171.0613,214.52306:990.88495,220.33334|
1186.0659,222.04483:972.6751,225.35893|
1186.0659,222.04483:972.6751,225.35893|
1204.8116,229.4763:951.61694,238.68356|
1204.8116,229.4763:951.61694,238.68356|
1224.0305,253.2788:928.8191,264.80685|
1224.0305,253.2788:928.8191,264.80685|
1240.1416,292.64722:910.77484,300.92056|
1240.1416,292.64722:910.77484,300.92056|
1249.3038,348.75464:896.78253,351.533|
1249.3038,348.75464:896.78253,351.533|
1249.3038,348.75464:896.78253,351.533|
1252.5851,404.96585:883.5084,399.97382|
1252.0786,471.75162:869.78217,471.95038|
1252.0786,471.75162:869.78217,471.95038|
1251.1079,540.61053:861.6846,543.53625|
1251.1079,540.61053:861.6846,543.53625|
1251.1079,540.61053:861.6846,543.53625|
1253.9854,609.62384:851.9932,622.0264|
1263.748,682.4855:837.0707,708.6245|
1263.748,682.4855:837.0707,708.6245|
1263.748,682.4855:837.0707,708.6245|
1280.9357,750.3521:835.1679,830.7947|
1294.7719,808.7813:819.62506,904.6252|
1294.7719,808.7813:819.62506,904.6252|
1302.794,856.37854:820.0359,942.06146|
1302.794,856.37854:820.0359,942.06146|
1302.6146,891.9983:822.96265,954.6205|
1302.6146,891.9983:822.96265,954.6205|
1296.2056,921.1601:802.55585,992.04877|
1296.2056,921.1601:802.55585,992.04877|
1288.2789,939.1311:799.98065,996.0195|
1288.2789,939.1311:799.98065,996.0195|
1268.967,946.2344:798.65314,988.0529|
1268.967,946.2344:798.65314,988.0529|
1268.0116,947.9525:798.05524,972.7906|
1268.0116,947.9525:798.05524,972.7906|
1264.2771,936.74805:799.7573,947.7456|
1264.2771,936.74805:799.7573,947.7456|
1252.8893,909.07007:781.0055,968.67224|
1252.8893,909.07007:781.0055,968.67224|
1252.8893,909.07007:781.0055,968.67224|
1258.6685,875.609:769.92474,937.39307|
1258.6685,875.609:769.92474,937.39307|
1277.2977,836.8959:771.96155,914.4888|
1341.1392,768.321:757.07166,886.8417|
1341.1392,768.321:757.07166,886.8417|
1352.182,696.2228:821.0621,871.5783|
1352.182,696.2228:821.0621,871.5783|
1342.1592,631.7059:920.75653,613.79364|
1342.1592,631.7059:920.75653,613.79364|
1342.1592,631.7059:920.75653,613.79364|
1329.1847,567.74554:937.4026,607.8794|
1329.1847,567.74554:937.4026,607.8794|
1310.1721,511.51157:955.6018,586.3855|
1288.0471,465.13892:970.10364,557.7573|
1288.0471,465.13892:970.10364,557.7573|
1265.9023,432.38916:970.80457,582.5449|
1265.9023,432.38916:970.80457,582.5449|
1243.7925,411.91742:840.82007,442.82016|
1243.7925,411.91742:840.82007,442.82016|
1224.9324,396.23853:839.9434,382.62158|
1224.9324,396.23853:839.9434,382.62158|
1210.2502,382.8431:842.5306,403.20197|
1210.2502,382.8431:842.5306,403.20197|
1200.592,375.39508:843.15186,393.81085|
1200.592,375.39508:843.15186,393.81085|
1195.4174,368.9809:845.35547,392.6119|
1195.4174,368.9809:845.35547,392.6119|
1195.3108,366.18433:845.8264,392.44604|
1195.3108,366.18433:845.8264,392.44604|
1195.3108,366.18433:845.8264,392.44604|
1197.8167,365.9869:845.9075,389.01654|
1202.3751,366.26215:845.9701,384.54034|
1202.3751,366.26215:845.9701,384.54034|
1207.6838,366.7327:844.5843,385.04523|
1207.6838,366.7327:844.5843,385.04523|
1207.6838,366.7327:844.5843,385.04523|
1212.8582,367.413:845.2109,381.14236|
1217.3148,368.14966:845.26086,369.39737|
1217.3148,368.14966:845.26086,369.39737|
1220.9376,369.447:843.96185,368.0184|
1220.9376,369.447:843.96185,368.0184|
1220.9376,369.447:843.96185,368.0184|
1224.6791,373.24884:841.6613,368.74817|
1228.0927,372.70535:837.01215,372.7688|
1228.0927,372.70535:837.01215,372.7688|
1232.5104,376.22034:825.1436,414.61548|
1232.5104,376.22034:825.1436,414.61548|
1238.7982,378.69843:824.926,416.43884|
1238.7982,378.69843:824.926,416.43884|
1238.7982,378.69843:824.926,416.43884|
1247.886,381.65897:815.9789,419.0248|
1259.156,384.7813:825.7503,423.572|
1259.156,384.7813:825.7503,423.572|
1271.0807,390.00958:830.2558,425.93826|
1271.0807,390.00958:830.2558,425.93826|
1283.3279,400.8358:835.9394,430.12213|
1283.3279,400.8358:835.9394,430.12213|
1297.3118,409.61792:849.4865,438.45407|
1297.3118,409.61792:849.4865,438.45407|
1297.3118,409.61792:849.4865,438.45407|
1311.712,416.95743:854.6282,445.6623|
1311.712,416.95743:854.6282,445.6623|
1325.8087,426.8504:849.1986,453.4689|
1330.494,457.81042:846.31055,460.345|
1330.494,457.81042:846.31055,460.345|
1343.1971,468.64612:842.67114,468.28497|
1343.1971,468.64612:842.67114,468.28497|
1343.1971,468.64612:842.67114,468.28497|
